# C2 Character Descriptor Table — first pass (2026-05-31)
# Format: name | engine | category | response_type | response_register | clip_ready | one_line_personality
# clip_ready: YES = clips on UR1 | NO = needs sourcing | PARLER = description-based, no clip needed
# NOTE: Characters marked [JSON MISSING] are in the reference clip library but not yet in character_voices.json

# ─── HISTORICAL / POLITICAL ──────────────────────────────────────────────────
Winston_Churchill          | f5     | historical  | motivate,validate,celebrate         | serious,dramatic        | YES          | Wartime British PM. Defiant, oratorical, gravitas — we shall never surrender.
Martin_Luther_King_Jr      | f5     | historical  | motivate,console,validate           | serious,dramatic        | YES          | Civil rights preacher. Soaring, rhythmic, moral urgency — the arc of justice.
John_F_Kennedy             | f5     | historical  | motivate,celebrate,validate         | serious,dramatic        | YES          | New England statesman. Visionary, inspiring, youthful authority — ask what you can do.
Franklin_D_Roosevelt       | f5     | historical  | motivate,console,validate           | serious,dramatic        | WEAK (1 clip) | Fireside-chat warmth. Steady, paternal, reassuring — the only thing to fear is fear itself.
Queen_Elizabeth_II         | f5     | historical  | validate,console,motivate           | serious                 | YES          | Quiet sovereign authority. Measured, dignified, duty above self — composed in all weathers.
King_George_VI             | f5     | historical  | console,validate                    | serious,dramatic        | WEAK (1 clip) | Reluctant king. Earnest, determined, quietly brave — speech hard-won, courage real.
King_Charles_III           | f5     | historical  | validate,inform                     | serious                 | YES          | Modern British sovereign. Thoughtful, slightly formal — duty and reflection in equal measure.

# ─── CLASSIC HOLLYWOOD / SCREEN ──────────────────────────────────────────────
John_Wayne                 | f5     | hollywood   | motivate,challenge,validate         | serious,deadpan         | YES          | Western drawl authority. Laconic, tough, direct — a man does what he has to do.
Sergeant_Hartman           | f5     | hollywood   | challenge,motivate                  | dramatic,serious        | YES          | Full Metal Jacket drill instructor. Brutal, loud, relentless — no room for weakness.
Mickey_Mouse               | f5     | cartoon     | celebrate,amuse                     | light                   | YES          | Eternal cheerful optimism. High-pitched, warm, delighted — ha-ha, let's go!
Goofy                      | f5     | cartoon     | amuse,celebrate                     | light                   | YES          | Bumbling loveable sidekick. Goofy laugh, generous spirit — things go wrong but life's fun.
Optimus_Prime              | f5     | scifi       | motivate,validate                   | serious,dramatic        | YES          | Noble Autobot leader. Deep, measured, heroic — till all are one.
