name,category,country,era,voice_archetype,response_type,response_register,ffmpeg_preset,sample_rate,channels,clip_status,best_source
Diana Rigg,actress,UK,1960s-1970s,"Elegant, razor-sharp, poised. Cool confidence, mid-to-upper RP, dry wit, controlled power.","validate|challenge","serious|deadpan",bbc_drama_1970s,22050,1,NEEDS CLIP,"YouTube — The Avengers, On Her Majesty's Secret Service"
Joanna Lumley,actress,UK,1970s,"Velvety, posh, glamorous. Smooth, warm, slightly husky, effortless charm.","validate|console","light|deadpan",itv_1970s_colour_tv,22050,1,NEEDS CLIP,"YouTube — The New Avengers, Sapphire & Steel"
Julie Andrews,actress,UK,1950s-1970s,"Crystal-clear diction, musical, warm. Bright, articulate, nurturing, perfect pitch in speech.","motivate|console","light|serious",bbc_drama_1970s,22050,1,NEEDS CLIP,"YouTube — Mary Poppins, The Sound of Music, interviews"
Judi Dench,actress,UK,1960s-1970s,"Strong, authoritative, expressive. Precise diction, emotional depth, commanding presence.","motivate|validate","serious|dramatic",bbc_drama_1970s,22050,1,NEEDS CLIP,"YouTube — early BBC drama, stage recordings"
Diana Dors,actress,UK,1950s-1960s,"Playful, sultry, confident. Breathy glamour with British cheekiness.","amuse|celebrate","light|deadpan",bbc_1960s_mono,16000,1,NEEDS CLIP,"YouTube — British film clips, interviews"
Wendy Craig,actress,UK,1960s-1970s,"Warm, comedic, slightly flustered. Soft RP with domestic charm.","console|amuse",light,itv_1970s_colour_tv,22050,1,NEEDS CLIP,"YouTube — Butterflies, Not in Front of the Children"
Penelope Keith,actress,UK,1970s,"Tall, posh, arch, witty. Cut-glass RP, commanding, dry humour.","challenge|validate","deadpan|serious",bbc_drama_1970s,22050,1,NEEDS CLIP,"YouTube — The Good Life, To the Manor Born"
Sheila Hancock,actress,UK,1960s-1970s,"Grounded, articulate, emotionally rich. Strong presence, empathetic tone.","console|validate",serious,bbc_drama_1970s,22050,1,NEEDS CLIP,"YouTube — BBC drama archive, interviews"
Honor Blackman,actress,UK,1950s-1970s,"Deep, confident, seductive. Controlled, powerful, unmistakably cool.","motivate|challenge","serious|deadpan",bbc_drama_1970s,22050,1,NEEDS CLIP,"YouTube — The Avengers, Goldfinger"
Lucille Ball,actress,USA,1950s-1970s,"Expressive, comedic, chaotic energy. Big emotional range, fast shifts, iconic rasp.","amuse|celebrate",light,us_sitcom_1970s,22050,1,NEEDS CLIP,"YouTube — I Love Lucy, interviews"
Elizabeth Taylor,actress,USA,1950s-1970s,"Rich, dramatic, regal. Smooth, powerful, emotionally intense.","motivate|validate","dramatic|serious",hollywood_1960s,16000,1,NEEDS CLIP,"YouTube — Cleopatra, Who's Afraid of Virginia Woolf, interviews"
Audrey Hepburn,actress,USA,1950s-1970s,"Soft, elegant, breathy. Gentle, refined, delicate, emotionally warm.","console|validate","serious|light",hollywood_1960s,16000,1,NEEDS CLIP,"YouTube — Breakfast at Tiffany's, Roman Holiday, UNICEF speeches"
Katharine Hepburn,actress,USA,1950s-1970s,"Clipped, rapid, confident. Sharp wit, intellectual, unmistakable cadence.","challenge|motivate","serious|deadpan",hollywood_1960s,16000,1,NEEDS CLIP,"YouTube — The Philadelphia Story, interviews, talk shows"
Mary Tyler Moore,actress,USA,1960s-1970s,"Bright, modern, upbeat. Friendly, optimistic, contemporary American tone.","motivate|celebrate",light,us_sitcom_1970s,22050,1,NEEDS CLIP,"YouTube — The Mary Tyler Moore Show, interviews"
Barbara Stanwyck,actress,USA,1950s-1970s,"Tough, grounded, no-nonsense. Strong, direct, authoritative.","challenge|motivate","serious|dramatic",hollywood_1960s,16000,1,NEEDS CLIP,"YouTube — Double Indemnity, The Big Valley, interviews"
Debbie Reynolds,actress,USA,1950s-1970s,"Cheerful, musical, expressive. Bubbly, lively, wholesome.","celebrate|amuse",light,american_variety_1950s,16000,1,NEEDS CLIP,"YouTube — Singin' in the Rain, The Debbie Reynolds Show, interviews"
Jane Fonda,actress,USA,1960s-1970s,"Clear, confident, modern. Assertive, intelligent, energetic.","challenge|motivate",serious,us_sitcom_1970s,22050,1,NEEDS CLIP,"YouTube — Klute, interviews, 1970s talk shows"
Angie Dickinson,actress,USA,1960s-1970s,"Cool, glamorous, slightly husky. Controlled, confident, stylish.","validate|motivate","deadpan|serious",us_sitcom_1970s,22050,1,NEEDS CLIP,"YouTube — Police Woman, Rio Bravo, interviews"
Cloris Leachman,actress,USA,1950s-1970s,"Comedic, sharp, expressive. Sarcastic, witty, characterful.","amuse|challenge","light|deadpan",us_sitcom_1970s,22050,1,NEEDS CLIP,"YouTube — The Mary Tyler Moore Show, interviews"
